ORF,FOP,instability index
YGR035C,0.49,64.17
YGR036C,0.42,30.71
YGR037C,0.72,23.41
YGR038W,0.49,42.9
YGR039W,0.4,43.22
YGR040W,0.43,39.86
YGR041W,0.43,35.02
YGR042W,0.45,46.32
YGR043C,0.51,32.36
YGR044C,0.42,59.44
YGR045C,0.36,58.52
YGR046W,0.43,31.16
YGR047C,0.43,39.88
YGR048W,0.44,44.35
YGR049W,0.54,44.56
YGR050C,0.34,15.06
YGR051C,0.4,56.93
YGR052W,0.49,38.63
YGR053C,0.45,44.13
YGR054W,0.56,46.87
YGR055W,0.61,28.98
YGR056W,0.42,50.39
YGR057C,0.41,54.86
YGR058W,0.44,35.69
YGR059W,0.49,42.57
YGR060W,0.77,45.25
YGR061C,0.62,37.88
YGR062C,0.38,53.82
YGR063C,0.46,47.57
YGR064W,0.46,48.5
YGR065C,0.52,39.95
YGR066C,0.46,41.58
YGR067C,0.48,54.95
YGR068C,0.44,46.8
YGR069W,0.34,45.07
YGR070W,0.41,44.63
YGR071C,0.41,48.81
YGR072W,0.46,38.45
YGR073C,0.42,33.47
YGR074W,0.49,67.65
YGR075C,0.43,41.22
YGR076C,0.49,51.75
YGR077C,0.47,42.63
YGR078C,0.51,40.18
YGR079W,0.47,47.12
YGR080W,0.47,48.0
YGR081C,0.53,37.89
YGR082W,0.61,47.68
YGR083C,0.49,49.55
YGR084C,0.43,38.01
YGR085C,0.89,31.82
YGR086C,0.71,65.25
YGR087C,0.54,30.24
YGR088W,0.6,31.56
YGR089W,0.47,34.41
YGR090W,0.5,36.55
YGR091W,0.47,54.35
YGR092W,0.45,52.06
YGR093W,0.41,41.13
YGR094W,0.68,37.39
YGR095C,0.47,32.54
YGR096W,0.5,31.92
YGR097W,0.47,45.04
YGR098C,0.4,45.15
YGR099W,0.37,36.75
YGR100W,0.46,48.75
YGR101W,0.39,51.29
YGR102C,0.41,26.93
YGR103W,0.58,58.34
YGR104C,0.43,39.46
YGR105W,0.45,29.85
YGR106C,0.53,35.64
YGR107W,0.36,53.62
YGR108W,0.46,48.83
YGR109C,0.46,41.23
YGR110W,0.44,47.45
YGR111W,0.46,36.1
YGR112W,0.48,43.21
YGR113W,0.46,44.37
YGR114C,0.57,42.47
YGR115C,0.43,85.25
YGR116W,0.55,47.15
YGR117C,0.45,31.52
YGR118W,0.89,23.63
YGR119C,0.43,40.38
YGR120C,0.46,50.5
YGR121C,0.45,37.97
YGR122W,0.4,37.89
YGR123C,0.47,30.87
YGR124W,0.66,36.79
YGR125W,0.44,44.2
YGR126W,0.5,52.73
YGR127W,0.4,47.62
YGR128C,0.47,36.72
YGR129W,0.45,45.09
YGR130C,0.53,52.88
YGR131W,0.41,38.83
YGR132C,0.6,36.73
YGR133W,0.46,48.02
YGR134W,0.4,46.62
YGR135W,0.54,30.38
YGR136W,0.42,68.76
YGR137W,0.37,56.57
YGR138C,0.68,48.21
YGR139W,0.36,53.57
YGR140W,0.43,41.65
YGR141W,0.41,36.46
YGR142W,0.5,61.42
YGR143W,0.46,54.58
YGR144W,0.74,23.45
YGR145W,0.56,44.17
YGR146C,0.46,55.29
YGR147C,0.42,35.61
YGR148C,0.92,33.15
YGR149W,0.46,41.86
YGR150C,0.43,41.63
YGR151C,0.35,47.11
YGR152C,0.47,56.46
YGR153W,0.41,54.42
YGR154C,0.47,37.79
YGR155W,0.67,28.39
YGR156W,0.46,56.97
YGR157W,0.49,33.84
YGR158C,0.47,35.0
YGR159C,0.78,75.24
YGR160W,0.47,100.92
YGR161C,0.53,68.89
YGR162W,0.62,56.95
YGR163W,0.4,37.32
YGR164W,0.43,46.81
YGR165W,0.48,44.57
YGR166W,0.42,37.7
YGR167W,0.53,51.75
YGR168C,0.42,40.9
YGR169C,0.45,37.11
YGR170W,0.44,43.62
YGR171C,0.46,36.83
YGR172C,0.49,33.77
YGR173W,0.54,34.66
YGR174C,0.45,60.92
YGR175C,0.74,32.31
YGR176W,0.37,84.4
YGR177C,0.51,38.6
YGR178C,0.5,49.94
YGR179C,0.42,47.65
YGR180C,0.78,41.4
YGR181W,0.6,52.02
YGR182C,0.36,57.05
YGR183C,0.46,26.13
YGR184C,0.45,39.68
YGR185C,0.64,30.46
YGR186W,0.46,47.63
YGR187C,0.48,48.72
YGR188C,0.41,41.75
YGR189C,0.62,49.48
YGR190C,0.39,46.97
YGR191W,0.55,33.61
YGR192C,0.97,26.92
YGR193C,0.48,31.4
YGR194C,0.47,42.21
YGR195W,0.49,46.42
YGR196C,0.41,49.22
YGR197C,0.49,37.57
YGR198W,0.43,43.68
YGR199W,0.42,36.5
YGR200C,0.49,36.19
YGR201C,0.51,30.02
YGR202C,0.5,31.99
YGR203W,0.4,59.71
YGR204W,0.67,33.7
YGR205W,0.5,31.78
YGR206W,0.46,64.5
YGR207C,0.54,38.84
YGR208W,0.56,27.78
YGR209C,0.73,27.2
YGR210C,0.48,29.72
YGR211W,0.62,43.34
YGR212W,0.42,42.45
YGR213C,0.46,39.35
YGR214W,0.87,38.1
YGR215W,0.44,22.91
YGR216C,0.42,37.59
YGR217W,0.42,42.99
YGR218W,0.53,41.27
YGR219W,0.57,43.77
YGR220C,0.49,31.08
YGR221C,0.41,60.96
YGR222W,0.38,44.85
YGR223C,0.46,40.71
YGR224W,0.49,41.85
YGR225W,0.45,46.29
YGR226C,0.48,23.18
YGR227W,0.46,39.61
YGR228W,0.45,49.76
YGR229C,0.5,46.66
YGR230W,0.33,45.68
YGR231C,0.53,35.93
YGR232W,0.47,26.75
YGR233C,0.42,40.78
YGR234W,0.62,36.9
YGR235C,0.51,42.39
YGR236C,0.45,29.08
YGR237C,0.44,54.18
YGR238C,0.4,36.93
YGR239C,0.45,63.0
YGR240C,0.76,34.06
YGR241C,0.52,49.4
YGR242W,0.39,38.98
YGR243W,0.42,27.6
YGR244C,0.55,37.59
YGR245C,0.54,46.31
YGR246C,0.53,45.41
YGR247W,0.45,44.14
YGR248W,0.47,36.5
YGR249W,0.44,61.8
YGR250C,0.45,46.92
YGR251W,0.4,48.97
YGR252W,0.42,42.62
YGR253C,0.51,49.26
YGR254W,0.95,31.16
YGR255C,0.47,35.26
YGR256W,0.56,34.61
YGR257C,0.44,34.3
YGR258C,0.44,44.99
YGR259C,0.39,45.63
YGR260W,0.57,32.74
YGR261C,0.47,40.33
YGR262C,0.5,33.36
YGR263C,0.47,52.32
YGR264C,0.6,41.52
YGR265W,0.37,44.94
YGR266W,0.5,37.6
YGR267C,0.56,59.22
YGR268C,0.48,67.84
YGR269W,0.41,20.59
YGR270W,0.45,50.53
YGR271W,0.47,42.51
YGR273C,0.44,50.52
YGR274C,0.47,42.29
YGR275W,0.41,39.63
YGR276C,0.46,30.36
YGR277C,0.45,64.14
YGR278W,0.46,51.48
YGR279C,0.84,32.23
YGR280C,0.47,33.51
YGR281W,0.51,38.3
YGR282C,0.76,20.82
YGR283C,0.43,41.54
YGR284C,0.58,35.13
YGR285C,0.78,39.61
YGR286C,0.59,44.32
YGR287C,0.59,27.89
YGR288W,0.43,51.08
YGR289C,0.52,34.12
YGR290W,0.43,45.09
YGR291C,0.42,48.92
YGR292W,0.55,29.86
YGR293C,0.36,52.68
YGR294W,0.89,17.64
YGR295C,0.45,41.16
YGR296W,0.45,39.01
YHR001W-A,0.42,35.92
YHR005C-A,0.57,40.04
YHR021W-A,0.45,50.67
YHR049C-A,0.34,50.04
YHR139C-A,0.43,57.92
YHR214C-B,0.46,45.3
YHR214W-A,0.28,58.72
YIL014C-A,0.42,25.49
YIL082W-A,0.51,43.11
YJL001W,0.54,14.88
YJL002C,0.51,35.24
YJL003W,0.39,54.01
YJL004C,0.38,47.52
YJL005W,0.43,48.89
YJL006C,0.4,37.58
YJL007C,0.44,59.29
YJL008C,0.57,32.51
YJL009W,0.5,35.95
YJL010C,0.5,43.38
YJL011C,0.41,44.72
YJL012C,0.57,34.54
YJL013C,0.45,47.74
YJL014W,0.58,46.09
YJL015C,0.49,45.8
YJL016W,0.45,42.7
YJL019W,0.44,52.35
YJL020C,0.47,63.18
YJL022W,0.39,43.26
YJL023C,0.42,37.6
YJL024C,0.47,35.61
YJL025W,0.46,49.62
YJL026W,0.8,36.1
YJL027C,0.43,46.89
YJL028W,0.38,46.74
YJL029C,0.46,41.18
YJL030W,0.41,28.32
YJL031C,0.5,53.97
YJL032W,0.51,46.42
YJL033W,0.53,44.99
YJL034W,0.73,26.72
YJL035C,0.46,27.02
YJL036W,0.45,38.13
YJL037W,0.47,36.27
YJL038C,0.42,28.42
YJL039C,0.46,35.17
YJL041W,0.49,27.55
YJL042W,0.5,43.34
YJL043W,0.45,46.77
YJL044C,0.5,34.51
YJL045W,0.52,37.92
YJL046W,0.37,33.61
YJL047C,0.42,35.02
YJL048C,0.49,44.55
YJL049W,0.48,45.0
YJL050W,0.54,39.76
YJL051W,0.44,48.74
YJL052W,0.93,26.72
YJL053W,0.46,37.81
YJL054W,0.51,47.73
YJL055W,0.5,36.64
YJL056C,0.44,43.44
YJL057C,0.45,42.55
YJL058C,0.42,41.39
YJL059W,0.45,46.81
YJL060W,0.57,32.37
YJL061W,0.47,47.29
YJL062W,0.45,34.03
YJL063C,0.43,40.47
YJL064W,0.48,43.0
YJL065C,0.46,45.64
YJL066C,0.49,35.31
YJL067W,0.48,24.24
YJL068C,0.57,37.12
YJL069C,0.48,48.58
YJL070C,0.44,42.92
YJL071W,0.41,45.03
YJL072C,0.44,49.4
YJL073W,0.44,50.7
YJL074C,0.53,38.31
YJL075C,0.36,57.22
YJL076W,0.48,55.8
YJL077C,0.39,52.0
YJL078C,0.54,38.12
YJL079C,0.68,30.39
YJL080C,0.66,41.12
YJL081C,0.46,45.85
YJL082W,0.5,41.16
YJL083W,0.41,50.72
YJL084C,0.43,56.0
YJL085W,0.48,44.43
YJL086C,0.42,33.46
YJL087C,0.46,32.25
YJL088W,0.52,40.7
YJL089W,0.4,34.96
YJL090C,0.43,44.06
YJL091C,0.46,24.46
YJL092W,0.44,47.73
YJL093C,0.45,42.39
YJL094C,0.45,34.79
YJL095W,0.41,51.53
YJL096W,0.5,37.67
YJL097W,0.57,39.14
YJL098W,0.45,47.35
YJL099W,0.43,45.16
YJL100W,0.43,46.55
YJL101C,0.43,41.92
YJL102W,0.44,37.0
YJL103C,0.41,47.2
YJL104W,0.38,30.43
YJL105W,0.38,45.98
YJL106W,0.44,44.12
YJL107C,0.42,43.7
YJL108C,0.53,37.49
YJL109C,0.51,40.12
YJL110C,0.41,48.64
YJL111W,0.52,28.86
YJL112W,0.42,41.78
YJL113W,0.44,41.58
YJL114W,0.45,26.21
YJL115W,0.46,74.9
YJL116C,0.61,29.59
YJL117W,0.55,28.51
YJL118W,0.48,82.7
YJL119C,0.47,43.91
YJL120W,0.44,38.34
YJL121C,0.64,37.2
YJL122W,0.58,43.46
YJL123C,0.48,49.63
YJL124C,0.5,44.26
YJL125C,0.46,40.93
YJL126W,0.42,50.38
YJL127C,0.43,39.47
YJL128C,0.48,55.45
YJL129C,0.44,42.33
YJL130C,0.63,39.22
YJL131C,0.41,37.23
YJL132W,0.43,30.96
YJL133W,0.4,31.62
YJL134W,0.42,40.87
YJL135W,0.46,52.62
YJL136C,0.87,18.28
YJL137C,0.45,47.65
YJL138C,0.89,46.7
YJL139C,0.43,51.69
YJL140W,0.45,48.79
YJL141C,0.45,54.7
YJL142C,0.35,40.27
YJL143W,0.54,48.66
YJL144W,0.34,48.23
YJL145W,0.55,22.89
YJL146W,0.42,48.13
YJL147C,0.44,59.03
YJL148W,0.47,39.52
YJL149W,0.48,48.23
YJL150W,0.37,45.97
YJL151C,0.55,63.4
YJL152W,0.37,45.32
YJL153C,0.53,33.47
YJL154C,0.47,43.58
YJL155C,0.45,37.21
YJL156C,0.42,37.29
YJL157C,0.45,44.16
YJL158C,0.84,31.26
YJL159W,0.87,26.85
YJL160C,0.48,44.51
YJL161W,0.36,34.09
YJL162C,0.43,60.37
YJL163C,0.42,39.73
YJL164C,0.53,42.34
YJL165C,0.44,43.99
YJL166W,0.57,39.01
YJL167W,0.71,36.58
YJL168C,0.45,54.47
YJL169W,0.43,51.55
YJL170C,0.45,55.53
YJL171C,0.59,37.32
YJL172W,0.59,35.1
YJL173C,0.47,54.09
YJL174W,0.54,34.74
YJL175W,0.49,48.92
YJL176C,0.47,46.77
YJL177W,0.91,41.59
YJL178C,0.48,28.52
YJL179W,0.46,32.68
YJL180C,0.4,30.56
YJL181W,0.42,49.48
YJL182C,0.39,26.71
YJL183W,0.51,33.0
YJL184W,0.37,39.14
YJL185C,0.44,57.43
YJL186W,0.48,29.5
YJL187C,0.44,53.91
YJL188C,0.47,38.36
YJL189W,0.98,81.73
YJL190C,0.93,35.02
YJL191W,0.86,40.57
YJL192C,0.52,35.71
YJL193W,0.41,40.67
YJL194W,0.47,46.67
YJL195C,0.44,30.72
YJL196C,0.47,30.98
YJL197W,0.43,41.05
YJL198W,0.54,42.58
YJL199C,0.45,51.21
YJL200C,0.56,27.57
YJL201W,0.47,45.89
YJL202C,0.4,56.31
YJL203W,0.45,24.18
YJL204C,0.45,40.71
YJL206C,0.48,41.21
YJL205C,0.37,47.2
YJL207C,0.44,37.68
YJL208C,0.45,35.84
YJL209W,0.48,35.8
YJL210W,0.44,35.23
YJL211C,0.44,53.1
YJL212C,0.55,39.28
YJL213W,0.49,26.14
YJL214W,0.57,43.76
YJL215C,0.42,70.12
YJL216C,0.55,34.33
YJL217W,0.44,26.62
YJL218W,0.45,42.25
YJL219W,0.56,35.51
YJL220W,0.44,28.26
YJL221C,0.61,31.72
YJL222W,0.47,33.52
YJL223C,0.89,21.84
YJL225C,0.46,37.0
YJR001W,0.46,39.18
YJR002W,0.49,58.37
YJR003C,0.43,39.25
YJR004C,0.46,30.95
YJR005W,0.46,46.95
YJR006W,0.49,36.82
YJR007W,0.67,52.46
YJR008W,0.46,29.57
YJR009C,0.97,28.79
YJR010C-A,0.41,71.07
YJR010W,0.64,41.66
YJR011C,0.43,41.35
YJR012C,0.41,55.97
YJR013W,0.42,26.21
YJR014W,0.59,25.19
YJR015W,0.47,42.34
YJR016C,0.73,34.6
YJR017C,0.5,55.66
YJR018W,0.38,41.7
YJR019C,0.48,36.41
YJR020W,0.43,47.63
YJR021C,0.46,46.2
YJR022W,0.45,25.32
YJR023C,0.33,38.97
YJR024C,0.43,46.56
YJR025C,0.49,38.72
YJR026W,0.46,51.96
YJR027W,0.47,48.35
YJR028W,0.46,52.73
YJR029W,0.47,48.67
YJR030C,0.41,48.95
YJR031C,0.44,41.99
YJR032W,0.49,32.57
YJR033C,0.46,41.0
YJR034W,0.48,54.75
YJR035W,0.43,42.8
YJR036C,0.39,47.96
YJR037W,0.43,55.49
YJR038C,0.45,52.4
YJR039W,0.44,36.22
YJR040W,0.49,30.92
YJR041C,0.44,39.57
YJR042W,0.43,43.4
YJR043C,0.45,53.29
YJR044C,0.47,35.63
YJR045C,0.82,34.63
YJR046W,0.43,47.25
YJR047C,0.86,29.19
YJR048W,0.69,29.34
YJR049C,0.43,35.04
YJR050W,0.39,50.5
YJR051W,0.51,26.77
YJR052W,0.46,48.98
YJR053W,0.45,47.23
YJR054W,0.44,34.13
YJR055W,0.39,31.08
YJR056C,0.38,47.98
YJR057W,0.47,23.61
YJR058C,0.35,50.44
YJR059W,0.48,41.2
YJR060W,0.48,55.95
YJR061W,0.43,40.23
YJR062C,0.42,33.43
YJR063W,0.56,37.06
YJR064W,0.56,30.12
YJR065C,0.56,32.01
YJR066W,0.46,40.79
YJR067C,0.45,38.12
YJR068W,0.52,29.57
YJR069C,0.56,31.18
YJR070C,0.73,42.56
YJR071W,0.38,47.77
YJR072C,0.54,36.9
YJR073C,0.61,36.26
YJR074W,0.55,35.98
YJR075W,0.54,49.81
YJR076C,0.53,56.09
YJR077C,0.77,31.84
YJR078W,0.49,48.09
YJR079W,0.41,38.85
YJR080C,0.48,41.53
YJR082C,0.41,49.0
YJR083C,0.4,59.4
YJR084W,0.41,47.17
YJR085C,0.51,31.09
YJR086W,0.41,61.61
YJR087W,0.36,50.66
YJR088C,0.53,35.04
YJR089W,0.42,45.36
YJR090C,0.42,44.54
YJR091C,0.5,42.61
YJR092W,0.47,56.16
YJR093C,0.41,53.04
YJR094C,0.47,48.95
YJR094W-A,0.85,37.82
YJR095W,0.59,20.38
YJR096W,0.57,35.95
YJR097W,0.38,47.94
YJR098C,0.45,42.24
YJR099W,0.39,45.45
YJR100C,0.39,38.98
YJR101W,0.41,38.14
YJR102C,0.44,50.08
YJR103W,0.52,36.01
YJR104C,0.74,24.54
YJR105W,0.73,21.36
YJR106W,0.42,43.27
YJR107W,0.45,37.72
YJR108W,0.47,35.93
YJR109C,0.58,35.4
YJR110W,0.45,41.48
YJR111C,0.46,38.71
YJR112W,0.41,42.47
YJR113C,0.5,43.13
YJR114W,0.5,45.8
YJR115W,0.47,45.49
YJR116W,0.54,29.76
YJR117W,0.61,35.11
YJR118C,0.49,43.25
YJR119C,0.44,39.35
YJR120W,0.34,53.79
YJR121W,0.73,31.7
YJR122W,0.47,36.94
YJR123W,0.95,36.15
YJR124C,0.48,36.14
YJR125C,0.49,44.07
YJR126C,0.45,36.53
YJR127C,0.43,47.64
YJR128W,0.34,54.34
YJR129C,0.42,39.6
YJR130C,0.46,40.28
YJR131W,0.47,36.58
YJR132W,0.46,40.88
YJR133W,0.63,40.77
YJR134C,0.44,51.06
YJR135C,0.41,39.83
YJR136C,0.43,46.18
YJR137C,0.57,35.51
YJR138W,0.44,34.12
YJR139C,0.74,19.46
YJR140C,0.45,44.98
YJR141W,0.46,43.91
YJR142W,0.47,36.93
YJR143C,0.56,33.68
YJR144W,0.5,26.63
YJR145C,0.88,23.54
YJR146W,0.4,41.09
YJR147W,0.47,43.78
YJR148W,0.56,26.96
YJR149W,0.45,32.89
YJR150C,0.69,42.09
YJR151C,0.64,48.67
YJR152W,0.51,37.33
YJR153W,0.51,16.38
YJR154W,0.45,37.89
YJR155W,0.48,45.23
YJR156C,0.81,35.09
YJR157W,0.45,48.79
YJR158W,0.53,33.53
YJR159W,0.57,25.42
YJR160C,0.47,41.62
YJR161C,0.48,38.11
YJR162C,0.43,59.28
YLL001W,0.5,42.44
YLL002W,0.42,48.88
YLL003W,0.41,54.92
YLL004W,0.43,47.96
YLL005C,0.43,37.36
YLL006W,0.42,37.85
YLL007C,0.42,42.29
YLL008W,0.58,48.76
YLL009C,0.6,58.24
YLL010C,0.44,59.14
YLL011W,0.55,40.0
YLL012W,0.48,37.8
YLL013C,0.52,48.54
YLL014W,0.48,55.06
YLL015W,0.47,37.46
YLL016W,0.44,41.69
YLL017W,0.41,51.3
YLL018C,0.72,45.78
YLL019C,0.47,48.5
YLL020C,0.37,43.26
YLL021W,0.47,50.89
YLL022C,0.49,52.36
YLL023C,0.6,46.32
YLL024C,0.91,32.21
YLL025W,0.86,28.14
YLL026W,0.65,43.8
YLL027W,0.47,45.04
YLL028W,0.58,38.18
YLL029W,0.5,34.34
YLL030C,0.45,49.98
YLL031C,0.51,29.77
YLL032C,0.47,38.38
YLL033W,0.41,27.42
YLL034C,0.5,46.74
YLL035W,0.42,48.74
YLL036C,0.43,42.15
YLL037W,0.48,39.47
YLL038C,0.42,47.36
YLL039C,0.7,30.11
YLL040C,0.49,47.58
YLL041C,0.59,55.23
YLL042C,0.41,52.65
YLL043W,0.47,44.39
YLL044W,0.51,50.68
YLL045C,0.96,34.72
YLL046C,0.4,31.73
YLL047W,0.51,32.04
YLL048C,0.54,39.41
YLL049W,0.45,44.78
YLL050C,0.76,49.79
YLL051C,0.42,33.35
YLL052C,0.54,41.54
YLL053C,0.7,29.23
YLL054C,0.45,40.49
YLL055W,0.5,45.29
YLL056C,0.51,25.48
YLL057C,0.47,43.93
YLL058W,0.43,33.2
YLL059C,0.35,44.31
YLL060C,0.41,44.5
YLL061W,0.5,31.49
YLL062C,0.48,33.77
YLL063C,0.45,34.88
YLL064C,0.9,14.97
YLL065W,0.41,58.25
YLL066C,0.44,38.76
YLL067C,0.46,37.52
YLR001C,0.43,32.04
YLR002C,0.5,45.19
YLR003C,0.41,47.98
YLR004C,0.61,33.65
YLR005W,0.47,50.28
YLR006C,0.43,50.38
YLR007W,0.45,33.46
YLR008C,0.5,24.83
YLR009W,0.71,70.78
YLR010C,0.46,41.29
YLR011W,0.36,46.29
YLR012C,0.56,73.3
YLR013W,0.46,37.5
YLR014C,0.41,39.34
YLR015W,0.46,39.77
YLR016C,0.44,42.77
YLR017W,0.56,40.38
YLR018C,0.42,46.19
YLR019W,0.48,46.67
YLR020C,0.42,36.99
YLR021W,0.44,37.27
YLR022C,0.45,49.64
YLR023C,0.49,45.49
YLR024C,0.42,41.18
YLR025W,0.43,50.2
YLR026C,0.51,43.62
YLR027C,0.63,30.89
YLR028C,0.53,36.78
YLR029C,0.93,46.31
YLR030W,0.46,49.41
YLR031W,0.43,43.84
YLR032W,0.44,52.04
YLR033W,0.46,36.76
YLR034C,0.56,25.82
YLR035C,0.45,45.95
YLR036C,0.44,34.33
YLR037C,0.86,28.14
YLR038C,0.6,38.53
YLR039C,0.43,36.21
YLR040C,0.51,45.2
YLR041W,0.39,30.33
YLR042C,0.5,32.31
YLR043C,0.78,27.19
YLR044C,0.96,30.59
YLR045C,0.45,48.96
YLR046C,0.41,45.47
YLR047C,0.45,45.81
YLR048W,0.89,33.5
YLR049C,0.45,52.93
YLR050C,0.55,36.6
YLR051C,0.51,61.48
YLR052W,0.48,31.27
YLR053C,0.39,42.46
YLR054C,0.44,39.41
YLR055C,0.46,46.16
YLR056W,0.61,38.65
YLR057W,0.46,44.15
YLR058C,0.83,27.12
YLR059C,0.52,50.64
YLR060W,0.67,44.41
YLR061W,0.96,37.13
YLR062C,0.59,18.75
YLR063W,0.45,39.7
YLR064W,0.4,39.04
YLR065C,0.44,28.3
YLR066W,0.44,20.46
YLR067C,0.4,37.29
YLR068W,0.55,34.31
YLR069C,0.56,40.17
YLR070C,0.42,23.42
YLR071C,0.45,39.03
YLR072W,0.46,40.56
YLR073C,0.46,50.14
YLR074C,0.52,39.56
YLR075W,0.94,37.46
YLR076C,0.66,33.25
YLR077W,0.46,36.18
YLR078C,0.5,42.32
YLR079W,0.42,65.56
YLR080W,0.43,37.49
YLR081W,0.61,41.78
YLR082C,0.46,41.0
YLR083C,0.53,31.95
YLR084C,0.43,31.88
YLR085C,0.41,41.13
YLR086W,0.47,46.62
YLR087C,0.43,39.54
YLR088W,0.44,43.85
YLR089C,0.57,43.08
YLR090W,0.47,30.54
YLR091W,0.41,54.5
YLR092W,0.53,34.95
YLR093C,0.46,43.92
YLR094C,0.45,47.69
YLR095C,0.46,55.57
YLR096W,0.45,51.37
YLR097C,0.46,31.37
YLR098C,0.46,56.17
YLR099C,0.47,40.23
YLR100W,0.5,22.82
YLR101C,0.4,53.75
YLR102C,0.34,55.01
YLR103C,0.45,45.72
YLR104W,0.41,52.04
YLR105C,0.43,45.7
YLR106C,0.48,41.7
YLR107W,0.43,22.79
YLR108C,0.47,31.77
YLR109W,0.82,33.98
YLR110C,0.97,24.89
YLR111W,0.36,24.38
YLR112W,0.39,47.71
YLR113W,0.52,28.32
YLR114C,0.43,45.21
YLR115W,0.44,40.8
YLR116W,0.45,61.35
YLR117C,0.45,42.13
YLR118C,0.45,29.54
YLR119W,0.42,40.11
YLR120C,0.52,35.22
YLR121C,0.51,35.05
YLR122C,0.42,36.32
YLR123C,0.4,52.01
YLR124W,0.39,33.56
YLR125W,0.48,61.42
YLR126C,0.44,28.84
YLR127C,0.4,36.79
YLR128W,0.43,47.57
YLR129W,0.47,40.97
YLR130C,0.46,34.32
YLR131C,0.41,53.41
YLR132C,0.44,50.5
YLR133W,0.5,55.9
YLR134W,0.88,30.25
YLR135W,0.43,47.25
YLR136C,0.47,43.89
YLR137W,0.47,46.56
YLR138W,0.44,47.15
YLR139C,0.48,47.7
YLR140W,0.38,62.31
YLR141W,0.44,57.73
YLR142W,0.56,36.02
YLR143W,0.47,43.35
YLR144C,0.45,42.63
YLR145W,0.39,40.7
YLR146C,0.5,38.85
YLR147C,0.35,38.21
YLR148W,0.45,29.67
YLR149C,0.45,47.87
YLR150W,0.91,36.52
YLR151C,0.39,50.02
YLR152C,0.42,39.74
YLR153C,0.69,31.91
YLR154C,0.48,25.49
YLR155C,0.53,28.05
YLR156W,0.44,84.7
YLR157C,0.53,28.05
YLR158C,0.53,28.05
YLR159W,0.44,84.7
YLR160C,0.53,28.05
YLR161W,0.44,84.7
YLR162W,0.45,63.36
YLR163C,0.48,36.82
YLR164W,0.44,52.09
YLR165C,0.5,27.64
YLR166C,0.46,36.18
YLR167W,0.93,27.35
YLR168C,0.5,32.78
YLR169W,0.39,57.36
YLR170C,0.45,25.39
YLR171W,0.46,47.33
YLR172C,0.57,42.89
YLR173W,0.43,34.26
YLR174W,0.53,24.02
YLR175W,0.69,43.96
YLR176C,0.43,52.61
YLR177W,0.47,46.29
YLR178C,0.52,41.65
YLR179C,0.61,34.02
YLR180W,0.8,33.71
YLR181C,0.38,45.13
YLR182W,0.42,45.51
YLR183C,0.47,56.47
YLR184W,0.4,63.07
YLR185W,0.91,50.28
YLR186W,0.56,40.19
YLR187W,0.44,49.13
YLR188W,0.47,32.74
YLR189C,0.43,44.15
YLR190W,0.48,49.39
YLR191W,0.37,37.0
YLR192C,0.63,37.94
YLR193C,0.42,32.86
YLR194C,0.5,30.29
YLR195C,0.51,38.12
YLR196W,0.56,39.62
YLR197W,0.66,32.3
YLR198C,0.41,55.33
YLR199C,0.41,48.25
YLR200W,0.51,64.32
YLR201C,0.51,38.68
YLR202C,0.35,40.59
YLR203C,0.5,48.02
YLR204W,0.4,54.25
YLR205C,0.51,47.99
YLR206W,0.58,77.28
YLR207W,0.49,42.63
YLR208W,0.62,27.96
YLR209C,0.49,29.91
YLR210W,0.46,53.61
YLR211C,0.47,55.87
YLR212C,0.46,49.47
YLR213C,0.44,34.23
YLR214W,0.47,51.35
YLR215C,0.45,39.04
YLR216C,0.58,26.76
YLR217W,0.51,34.01
YLR218C,0.43,34.13
YLR219W,0.46,60.41
YLR220W,0.45,29.63
YLR221C,0.49,51.07
YLR222C,0.48,38.21
YLR223C,0.42,53.6
YLR224W,0.44,45.81
YLR225C,0.44,31.81
YLR226W,0.41,43.59
YLR227C,0.39,38.55
YLR228C,0.44,50.34
YLR229C,0.52,38.02
YLR230W,0.37,54.27
YLR231C,0.47,37.74
YLR232W,0.4,46.21
YLR233C,0.44,42.57
YLR234W,0.47,35.41
YLR235C,0.35,47.28
YLR236C,0.44,58.2
YLR237W,0.69,28.57
YLR238W,0.41,42.76
YLR239C,0.48,35.12
YLR240W,0.43,40.39
YLR241W,0.42,35.51
YLR242C,0.4,27.82
YLR243W,0.42,37.4
YLR244C,0.61,39.78
YLR245C,0.47,40.68
YLR246W,0.41,42.83
YLR247C,0.45,46.23
YLR248W,0.51,40.56
YLR249W,0.91,31.47
YLR250W,0.51,36.27
YLR251W,0.53,36.75
YLR252W,0.4,32.16
YLR253W,0.46,45.48
YLR254C,0.43,52.52
YLR255C,0.38,72.39
YLR256W,0.49,47.92
YLR257W,0.5,55.38
YLR258W,0.49,37.29
YLR259C,0.72,39.39
YLR260W,0.43,56.97
YLR261C,0.31,53.38
YLR262C,0.46,43.52
YLR263W,0.47,51.75
YLR264W,0.88,34.35
YLR265C,0.41,47.03
YLR266C,0.43,42.73
YLR267W,0.5,42.66
YLR268W,0.55,40.65
YLR269C,0.37,48.54
YLR270W,0.59,50.4
YLR271W,0.41,46.39
YLR272C,0.45,40.97
YLR273C,0.42,46.95
YLR274W,0.52,45.73
YLR275W,0.42,36.84
YLR276C,0.5,39.55
YLR277C,0.47,38.66
