,Gene Name,DTT Fold Change,DTT Intensity (Median),DTT Localization,DTT STD,Description,H2O2 Fold Change,H2O2 Intensity (Median),H2O2 Localization,H2O2 STD,MA3 Fold Change,MA3 Intensity (Median),MA3 Localization,MA3 STD,N' NATIVEpr-GFP in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' NOP1pr-GFP in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' TEF2pr-mCherry in SD Localization,ORF,Pup2 DAmP Localization,SD Intensity (Median),SD Localization,SD STD,Significance of DTT Intensity (Median) Change,Significance of H2O2 Intensity (Median) Change,Significance of MA3 Intensity (Median) Change,Significance of Starvation Intensity (Median) Change,Starvation Fold Change,Starvation Intensity (Median),Starvation Localization,Starvation STD
4250,STE24,,,,,,,,,,,,,,27.92,ER,46.11,ER,23.23,below threshold,25.87,ER,YJR117W,,,,,,,,,,,,
4251,STE3,,,,,,,,,,,,,,35.3,ER,29.0,ER,23.78,below threshold,8.64,ER,YKL178C,,,,,,,,,,,,
4252,STE4,0.86,13.16,cytosol,4.34,"G protein beta subunit, forms a dimer with Ste18p to activate the mating signaling pathway, forms a heterotrimer with Gpa1p and Ste18p to dampen signaling; may recruit Rho1p to the polarized growth site during mating; contains WD40 repeats",0.99,15.13,cytosol,3.01,1.11,16.91,below threshold,3.34,35.42,punctate,69.84,punctate,,,,missing,YOR212W,below threshold,15.18,below threshold,3.84,0.0,0.0,0.0,0.0,0.91,13.96,cytosol,
4253,STE5,1.08,28.33,cytosol,9.72,"Pheromone-response scaffold protein; binds Ste11p, Ste7p, and Fus3p kinases, forming a MAPK cascade complex that interacts with the plasma membrane and Ste4p-Ste18p; allosteric activator of Fus3p that facilitates Ste7p-mediated activation",0.99,25.95,cytosol,4.26,1.26,32.92,cytosol,4.19,28.5,below threshold,49.28,cytosol,35.1,cytosol,40.57,cytosol,YDR103W,cytosol,26.18,cytosol,5.88,0.0,0.0,0.0,0.0,0.72,19.11,cytosol,
4254,STE50,1.22,28.8,cytosol,8.42,"Protein involved in mating response, invasive/filamentous growth, and osmotolerance, acts as an adaptor that links G protein-associated Cdc42p-Ste20p complex to the effector Ste11p to modulate signal transduction",1.18,27.83,cytosol,4.03,0.94,22.13,cytosol,3.4,29.65,cytosol,61.54,cytosol,36.1,cytosol,92.87,cytosol,YCL032W,cytosol,23.49,cytosol,5.6,0.0,0.0,0.0,0.0,1.53,36.08,cytosol,
4255,STE6,0.61,22.84,vacuole,7.21,"Plasma membrane ATP-binding cassette (ABC) transporter required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells",0.72,26.8,vacuole,7.11,0.74,27.49,vacuole,6.05,19.2,below threshold,28.32,vacuole,24.84,below threshold,38.37,vacuole,YKL209C,vacuole,37.1,vacuole,12.02,-1.0,0.0,0.0,,,,vacuole,
4256,STE7,1.39,33.31,cytosol,12.8,"Signal transducing MAP kinase kinase involved in pheromone response, where it phosphorylates Fus3p, and in the pseudohyphal/invasive growth pathway, through phosphorylation of Kss1p; phosphorylated by Ste11p, degraded by ubiquitin pathway",1.06,25.25,cytosol,4.86,1.1,26.18,cytosol,2.8,26.74,below threshold,56.88,"cytosol,bud",37.43,cytosol,23.5,"cytosol,bud",YDL159W,cytosol,23.81,cytosol,6.76,1.0,0.0,0.0,0.0,0.91,21.83,cytosol,
4257,STF1,1.76,122.29,mitochondria,43.41,Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein,1.43,99.57,mitochondria,26.31,0.88,61.01,mitochondria,14.51,19.92,below threshold,175.97,mitochondria,,,294.7,mitochondria,YDL130W-A,mitochondria,69.33,mitochondria,45.27,1.0,1.0,0.0,1.0,4.16,288.76,mitochondria,
4258,STF2,0.86,16.02,cytosol,5.23,Protein involved in regulation of the mitochondrial F1F0-ATP synthase; Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein,0.89,16.57,cytosol,3.88,0.86,15.79,below threshold,1.77,96.22,cytosol,145.72,cytosol,0.0,,228.78,cytosol,YGR008C,below threshold,18.46,below threshold,5.1,0.0,0.0,0.0,0.0,0.93,17.2,cytosol,
4259,STH1,0.92,52.29,nucleus,16.47,ATPase component of the RSC chromatin remodeling complex; required for expression of early meiotic genes; essential helicase-related protein homologous to Snf2p,1.18,66.82,nucleus,12.01,1.09,61.07,nucleus,11.3,20.14,cytosol,91.65,nucleolus,37.07,nucleus,63.53,nucleus,YIL126W,nucleus,56.23,nucleus,12.25,0.0,0.0,0.0,0.0,0.8,44.99,nucleus,
4260,STI1,,,,,,,,,,,,,,159.38,cytosol,219.44,cytosol,0.0,,238.22,cytosol,YOR027W,,,,,,,,,,,,
4261,STL1,,,,,,,,,,,,,,18.4,below threshold,43.3,"cell periphery,vacuole",27.28,below threshold,54.96,"cell periphery,vacuole",YDR536W,,,,,,,,,,,,
4262,STM1,0.67,655.83,cytosol,264.36,Protein required for optimal translation under nutrient stress; perturbs association of Yef3p with ribosomes; involved in TOR signaling; binds G4 quadruplex and purine motif triplex nucleic acid; helps maintain telomere structure,0.81,783.95,cytosol,176.88,0.88,852.32,cytosol,269.37,869.45,cytosol,675.68,cytosol,84.06,cytosol,605.42,cytosol,YLR150W,cytosol,964.86,cytosol,325.66,0.0,0.0,0.0,0.0,0.62,599.59,cytosol,
4263,STN1,1.18,17.9,cytosol,7.2,"Telomere end-binding and capping protein, plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping",0.96,14.64,cytosol,2.48,1.24,18.83,below threshold,3.05,19.53,below threshold,56.66,"cytosol,punctate",33.03,cytosol,63.18,cytosol,YDR082W,below threshold,15.16,below threshold,3.36,0.0,0.0,0.0,0.0,0.92,14.09,cytosol,
4264,STO1,0.93,54.56,nucleus,17.71,"Large subunit of the nuclear mRNA cap-binding protein complex, interacts with Npl3p to carry nuclear poly(A)+ mRNA to cytoplasm; also involved in nuclear mRNA degradation and telomere maintenance; orthologous to mammalian CBP80",1.07,62.68,nucleus,13.75,1.18,68.41,nucleus,10.8,50.53,nucleus,104.74,nucleolus,0.0,,143.75,nucleus,YMR125W,nucleus,58.05,nucleus,16.76,0.0,0.0,0.0,0.0,0.94,54.78,nucleus,
4265,STP1,,,,,,,,,,,,,,20.28,below threshold,18.3,below threshold,,,6.01,below threshold,YDR463W,,,,,,,,,,,,
4266,STP2,1.04,16.52,cytosol,5.72,"Transcription factor, activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids; activates transcription of amino acid permease genes",1.05,16.67,cytosol,4.07,1.07,16.97,below threshold,2.75,19.73,below threshold,14.37,below threshold,26.24,,4.73,below threshold,YHR006W,below threshold,15.82,below threshold,4.28,0.0,0.0,0.0,0.0,1.03,16.42,cytosol,
4267,STP22,,,,,,,,,,,,,,27.94,below threshold,48.72,"cytosol,punctate",26.95,below threshold,38.16,"cytosol,punctate",YCL008C,,,,,,,,,,,,
4268,STP3,1.04,24.4,nucleus,6.77,"Zinc-finger protein of unknown function, possibly involved in pre-tRNA splicing and in uptake of branched-chain amino acids",1.0,23.47,nucleus,4.27,1.1,25.61,nucleus,4.12,19.98,below threshold,84.63,nucleus,41.68,nucleus,262.23,missing,YLR375W,nucleus,23.38,nucleus,5.58,0.0,0.0,0.0,0.0,0.99,23.19,nucleus,
4269,STP4,1.18,18.9,cytosol,8.5,"Protein containing a Kruppel-type zinc-finger domain; has similarity to Stp1p, Stp2p, and Stp3p",0.99,15.85,cytosol,2.98,1.08,17.23,below threshold,1.95,25.05,nucleus,43.62,nucleus,26.98,nucleus,23.27,nucleus,YDL048C,below threshold,15.89,below threshold,3.54,0.0,0.0,0.0,0.0,0.86,13.77,cytosol,
4270,STR2,0.98,28.39,cytosol,12.01,"Cystathionine gamma-synthase, converts cysteine into cystathionine",1.36,39.14,cytosol,7.98,1.08,31.11,cytosol,5.72,28.35,cytosol,100.16,cytosol,49.01,cytosol,114.15,cytosol,YJR130C,cytosol,28.77,cytosol,7.61,0.0,1.0,0.0,0.0,1.23,35.51,cytosol,
4271,STR3,,,,,,,,,,,,,,28.19,punctate,82.61,punctate,23.59,punctate,111.01,punctate,YGL184C,,,,,,,,,,,,
4272,STS1,0.92,23.17,nucleus,6.35,Protein that interacts with the karyopherin Srp1p; may have a role with Srp1p in ubiquitin-mediated protein degradation,1.01,25.24,nucleus,4.88,1.03,25.57,nucleus,5.01,42.12,nucleus,44.84,"cytosol,nucleus",21.56,below threshold,9.28,below threshold,YIR011C,nucleus,24.93,nucleus,6.89,0.0,0.0,0.0,-1.0,0.73,18.39,nucleus,
4273,STT3,0.76,13.38,cytosol,4.05,"Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis",0.93,16.31,cytosol,3.31,0.89,15.48,below threshold,2.58,,missing,118.73,ER,,,55.91,ER,YGL022W,below threshold,17.45,below threshold,4.34,0.0,0.0,0.0,0.0,0.93,16.25,cytosol,
4274,STT4,,,,,,,,,,,,,,22.47,"cell periphery,punctate",51.9,cytosol,0.0,,29.53,cytosol,YLR305C,,,,,,,,,,,,
4275,STU1,0.86,14.97,punctate,6.58,Component of the mitotic spindle that binds to interpolar microtubules via its association with beta-tubulin (Tub2p); required for interpolar microtubules to provide an outward force on the spindle poles,1.11,19.36,punctate,4.08,1.07,18.54,punctate,3.06,19.39,punctate,65.73,"punctate,nucleus",0.0,,75.32,punctate,YBL034C,punctate,17.35,punctate,3.71,0.0,0.0,0.0,0.0,1.04,18.08,punctate,
4276,STU2,1.05,37.5,punctate,15.79,Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p,1.06,38.04,punctate,7.62,1.13,40.5,punctate,7.25,82.95,cytosol,211.37,cytosol,83.56,cytosol,372.03,"punctate,nucleus",YLR045C,punctate,35.7,punctate,10.51,0.0,0.0,0.0,0.0,0.86,30.79,punctate,
4277,STV1,0.88,14.02,cytosol,4.85,"Subunit a of the vacuolar-ATPase V0 domain, one of two isoforms (Stv1p and Vph1p); Stv1p is located in V-ATPase complexes of the Golgi and endosomes while Vph1p is located in V-ATPase complexes of the vacuole",0.92,14.75,cytosol,3.85,0.91,14.51,below threshold,1.81,26.32,punctate,70.48,punctate,29.66,below threshold,48.33,punctate,YMR054W,below threshold,15.87,below threshold,4.99,0.0,0.0,0.0,0.0,0.94,14.96,cytosol,
4278,SUA5,,,,,,,,,,,,,,22.46,below threshold,69.18,cytosol,47.3,"cytosol,punctate",103.54,cytosol,YGL169W,,,,,,,,,,,,
4279,SUA7,0.95,42.8,nucleus,11.47,"Transcription factor TFIIB, a general transcription factor required for transcription initiation and start site selection by RNA polymerase II",0.92,41.14,nucleus,8.7,1.02,45.59,nucleus,8.77,28.8,nucleus,121.7,nucleus,0.0,,181.28,nucleus,YPR086W,nucleus,44.65,nucleus,12.4,0.0,0.0,0.0,0.0,0.72,32.31,nucleus,
4280,SUB1,1.36,61.16,nucleus,18.92,"Transcriptional coactivator, facilitates elongation through factors that modify RNAP II; role in peroxide resistance involving Rad2p; role in the hyperosmotic stress response through polymerase recruitment at RNAP II and RNAP III genes",1.02,45.85,nucleus,9.76,0.84,37.85,nucleus,5.64,65.61,nucleus,140.06,nucleus,45.06,nucleus,265.91,nucleus,YMR039C,nucleus,44.83,nucleus,13.7,1.0,0.0,0.0,0.0,0.88,39.59,nucleus,
4281,SUB2,0.84,14.58,cytosol,4.41,Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56,1.02,17.57,cytosol,3.02,1.01,17.36,below threshold,5.12,225.32,nucleus,388.13,nucleus,88.66,"punctate,nucleus",423.31,nucleus,YDL084W,below threshold,17.19,below threshold,5.7,0.0,0.0,0.0,0.0,1.08,18.59,cytosol,
4282,SUC2,1.05,16.45,cytosol,11.45,"Invertase, sucrose hydrolyzing enzyme; a secreted, glycosylated form is regulated by glucose repression, and an intracellular, nonglycosylated enzyme is produced constitutively",0.86,13.54,cytosol,3.42,1.09,16.99,below threshold,4.31,30.48,below threshold,41.88,"cell periphery,vacuole",37.82,,23.2,"cell periphery,vacuole",YIL162W,below threshold,15.65,below threshold,4.18,0.0,0.0,0.0,0.0,1.21,19.01,cytosol,
4283,SUE1,1.04,18.48,cytosol,4.98,Mitochondrial protein required for degradation of unstable forms of cytochrome c,0.81,14.27,cytosol,2.2,0.94,16.49,below threshold,2.88,14.41,mitochondria,86.37,mitochondria,23.95,,8.92,mitochondria,YPR151C,below threshold,17.6,below threshold,3.93,0.0,0.0,0.0,0.0,1.0,17.73,cytosol,
4284,SUI1,,,,,,,,,,,,,,153.47,cytosol,357.86,cytosol,77.8,cytosol,439.02,cytosol,YNL244C,,,,,,,,,,,,
4285,SUI2,1.0,21.94,cytosol,17.95,"Alpha subunit of the translation initiation factor eIF2, involved in the identification of the start codon; phosphorylation of Ser51 is required for regulation of translation by inhibiting the exchange of GDP for GTP",1.63,35.86,cytosol,7.67,0.97,21.19,cytosol,7.09,20.69,cytosol,211.39,cytosol,77.63,cytosol,247.38,cytosol,YJR007W,cytosol,21.87,cytosol,9.81,0.0,1.0,0.0,0.0,1.53,33.53,cytosol,
4286,SUI3,1.08,18.75,cytosol,15.32,"Beta subunit of the translation initiation factor eIF2, involved in the identification of the start codon; proposed to be involved in mRNA binding",1.33,23.03,cytosol,22.29,1.02,17.64,below threshold,3.07,0.0,missing,178.29,cytosol,0.0,,343.18,cytosol,YPL237W,below threshold,17.28,below threshold,9.7,0.0,0.0,0.0,0.0,1.08,18.71,cytosol,
4287,SUL1,0.82,14.57,cytosol,4.69,"High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",0.93,16.53,cytosol,4.23,0.89,15.74,below threshold,1.92,18.09,mitochondria,67.87,ER,27.06,below threshold,36.5,vacuole,YBR294W,below threshold,17.72,below threshold,5.9,0.0,0.0,0.0,0.0,6.07,107.74,punctate,
4288,SUL2,0.7,13.71,cytosol,4.77,"High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates",0.86,16.83,cytosol,2.26,0.82,16.03,cytosol,2.14,16.45,below threshold,23.43,ambiguous,25.29,below threshold,9.77,vacuole,YLR092W,cytosol,19.49,cytosol,5.93,0.0,0.0,0.0,0.0,1.26,24.71,cytosol,
4289,SUM1,0.73,22.37,nucleus,6.07,"Transcriptional repressor required for mitotic repression of middle sporulation-specific genes; also acts as general replication initiation factor; involved in telomere maintenance, chromatin silencing; regulated by pachytene checkpoint",1.09,33.32,nucleus,6.27,0.96,28.99,nucleus,4.62,29.82,nucleus,74.02,nucleus,0.0,,77.0,vacuole,YDR310C,nucleus,30.35,nucleus,8.08,0.0,0.0,0.0,0.0,0.85,25.95,nucleus,
4290,SUN4,0.61,17.18,vacuole membrane,7.91,"Cell wall protein related to glucanases, possibly involved in cell wall septation; member of the SUN family",0.94,26.34,vacuole membrane,4.46,1.19,33.17,vacuole membrane,8.66,30.43,cytosol,49.05,"ER,punctate",,,13.24,"vacuole,bud neck",YNL066W,vacuole membrane,27.78,vacuole membrane,8.71,-1.0,0.0,0.0,-1.0,0.65,18.19,vacuole membrane,
4291,SUP35,,,,,,,,,,,,,,19.75,punctate,132.5,cytosol,,,289.88,cytosol,YDR172W,,,,,,,,,,,,
4292,SUP45,1.0,311.97,cytosol,110.69,Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin,0.9,282.67,cytosol,44.88,1.07,333.63,cytosol,66.99,,missing,140.0,cytosol,0.0,,,missing,YBR143C,cytosol,311.39,cytosol,74.49,0.0,0.0,0.0,-1.0,0.33,104.65,cytosol,
4293,SUR1,2.16,57.33,vacuole,31.95,"Probable catalytic subunit of a mannosylinositol phosphorylceramide (MIPC) synthase, forms a complex with probable regulatory subunit Csg2p; function in sphingolipid biosynthesis is overlapping with that of Csh1p",0.83,22.01,vacuole,4.89,1.01,26.76,vacuole,7.86,21.89,below threshold,33.8,"vacuole,bud neck",23.16,below threshold,30.95,vacuole,YPL057C,vacuole,26.47,vacuole,10.63,1.0,0.0,0.0,1.0,1.78,47.21,vacuole,
4294,SUR2,0.78,54.73,ER,29.88,"Sphinganine C4-hydroxylase, catalyses the conversion of sphinganine to phytosphingosine in sphingolipid biosyntheis",0.76,53.33,ER,10.38,0.85,59.54,ER,12.85,35.42,ER,60.91,ER,,,42.88,ER,YDR297W,ER,69.86,ER,23.45,0.0,0.0,0.0,-1.0,0.58,41.04,ER,
4295,SUR7,1.08,15.25,cytosol,5.25,"Plasma membrane protein that localizes to furrow-like invaginations (MCC patches); component of eisosomes; associated with endocytosis, along with Pil1p and Lsp1p; sporulation and plasma membrane sphingolipid content are altered in mutants",0.94,13.16,cytosol,3.69,0.93,13.09,below threshold,1.6,61.26,"cell periphery,punctate",80.86,"cell periphery,punctate",27.69,below threshold,105.94,"cell periphery,punctate",YML052W,below threshold,13.99,below threshold,3.79,0.0,0.0,0.0,0.0,1.38,19.33,cytosol,
4296,SUS1,,,,,,,,,,,,,,19.35,ambiguous,89.71,"cytosol,nucleus",30.01,,5.45,"cytosol,nucleus",YBR111W-A,,,,,,,,,,,,
4297,SUT1,0.97,18.17,cytosol,4.88,Transcription factor of the Zn[II]2Cys6 family involved in sterol uptake; involved in induction of hypoxic gene expression,0.76,14.27,cytosol,2.48,0.95,17.69,cytosol,2.69,22.72,nucleus,24.17,nucleolus,0.0,,0.0,"cell periphery,vacuole",YGL162W,cytosol,18.6,cytosol,4.33,0.0,0.0,0.0,0.0,0.79,14.8,cytosol,
4298,SUT2,1.03,16.86,cytosol,5.44,Putative transcription factor; multicopy suppressor of mutations that cause low activity of the cAMP/protein kinase A pathway; highly similar to Sut1p,1.05,17.22,cytosol,3.52,1.04,16.87,below threshold,3.14,21.18,below threshold,44.59,nucleus,27.13,nucleus,22.06,nucleus,YPR009W,below threshold,16.24,below threshold,3.77,0.0,0.0,0.0,0.0,1.01,16.48,cytosol,
4299,SUV3,1.05,23.67,mitochondria,9.02,"ATP-dependent RNA helicase, component of the mitochondrial degradosome along with the RNase Dss1p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs",1.16,26.11,mitochondria,4.01,1.21,27.12,mitochondria,4.36,,missing,52.85,mitochondria,33.57,,4.42,mitochondria,YPL029W,mitochondria,22.4,mitochondria,5.6,0.0,0.0,0.0,0.0,0.93,20.87,mitochondria,
4300,SVF1,,,,,,,,,,,,,,125.8,cytosol,189.89,cytosol,76.38,cytosol,231.7,cytosol,YDR346C,,,,,,,,,,,,
4301,SVL3,0.86,14.6,cytosol,4.94,"Protein of unknown function, mutant phenotype suggests a potential role in vacuolar function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck",1.01,17.13,cytosol,3.9,1.11,18.68,below threshold,2.85,23.63,bud,110.36,"cell periphery,bud",48.48,"cell periphery,bud",113.99,"cell periphery,bud",YPL032C,below threshold,16.85,below threshold,3.81,0.0,0.0,0.0,0.0,0.93,15.75,cytosol,
4302,SVP26,,,,,,,,,,,,,,24.36,below threshold,39.36,"ER,punctate",24.37,below threshold,27.64,ER,YHR181W,,,,,,,,,,,,
4303,SVS1,1.1,20.67,cytosol,16.57,"Cell wall and vacuolar protein, required for wild-type resistance to vanadate",0.99,18.65,cytosol,5.48,0.92,17.23,cytosol,2.17,27.36,"cell periphery,punctate,bud",36.91,"cell periphery,vacuole",18.99,,13.08,"cell periphery,vacuole",YPL163C,cytosol,18.67,cytosol,4.58,0.0,0.0,0.0,0.0,0.85,15.92,cytosol,
4304,SWA2,1.81,54.77,ambiguous,15.42,Auxilin-like protein involved in vesicular transport; clathrin-binding protein required for uncoating of clathrin-coated vesicles,1.22,37.2,ambiguous,7.93,1.12,33.95,ambiguous,3.88,29.31,cytosol,115.97,cytosol,51.52,cytosol,125.71,cytosol,YDR320C,ambiguous,30.25,ambiguous,7.85,1.0,0.0,0.0,0.0,1.02,31.01,ambiguous,
4305,SWC3,1.03,18.79,cytosol,6.46,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae",1.1,20.08,cytosol,3.51,1.0,18.15,below threshold,2.12,0.0,missing,51.74,nucleus,,,0.0,missing,YAL011W,below threshold,18.21,below threshold,4.51,0.0,0.0,0.0,0.0,0.91,16.61,cytosol,
4306,SWC4,1.04,30.15,nucleus,10.25,Component of the Swr1p complex that incorporates Htz1p into chromatin; component of the NuA4 histone acetyltransferase complex,0.85,24.72,nucleus,5.46,1.28,36.88,nucleus,6.51,28.79,nucleus,53.75,"cytosol,nucleus",26.48,"punctate,nucleus",58.4,"cytosol,nucleus",YGR002C,nucleus,28.83,nucleus,6.74,0.0,0.0,0.0,-1.0,0.7,20.35,nucleus,
4307,SWC5,1.07,27.69,nucleus,7.63,"Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A",1.08,28.02,nucleus,4.22,1.06,27.33,nucleus,4.87,23.59,nucleus,40.66,nucleus,29.88,nucleus,16.0,nucleus,YBR231C,nucleus,25.82,nucleus,6.32,0.0,0.0,0.0,0.0,1.1,28.4,nucleus,
4308,SWC7,0.93,15.03,cytosol,5.22,"Protein of unknown function, component of the Swr1p complex that incorporates Htz1p into chromatin",1.05,16.81,cytosol,3.26,1.01,16.2,below threshold,2.02,22.74,nucleus,25.18,ER,19.83,,,missing,YLR385C,below threshold,15.99,below threshold,4.08,0.0,0.0,0.0,0.0,0.96,15.45,cytosol,
4309,SWD1,1.27,29.26,nucleus,14.38,"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7",1.04,23.95,nucleus,5.01,0.89,20.38,nucleus,3.49,21.56,nucleus,42.1,nucleus,,,14.96,nucleus,YAR003W,nucleus,22.96,nucleus,6.93,0.0,0.0,0.0,-1.0,0.78,17.97,nucleus,
4310,SWD2,,,,,,,,,,,,,,33.72,nucleus,93.63,nucleus,39.46,nucleus,111.56,nucleus,YKL018W,,,,,,,,,,,,
4311,SWD3,1.14,19.67,nucleus,6.77,"Essential subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member and ortholog of mammalian WDR5",1.39,23.86,nucleus,4.73,1.03,17.58,nucleus,2.8,27.46,"punctate,nucleus",45.45,"punctate,nucleus",,,47.13,"punctate,nucleus",YBR175W,nucleus,17.14,nucleus,4.38,0.0,0.0,0.0,0.0,1.34,23.11,nucleus,
4312,SWE1,0.92,18.15,cytosol,9.47,Protein kinase that regulates the G2/M transition by inhibition of Cdc28p kinase activity; localizes to the nucleus and to the daughter side of the mother-bud neck; homolog of S. pombe Wee1p; potential Cdc28p substrate,0.91,17.85,cytosol,4.14,0.99,19.4,cytosol,3.32,18.67,below threshold,43.87,bud neck,22.56,below threshold,,missing,YJL187C,cytosol,19.55,cytosol,4.98,0.0,0.0,0.0,0.0,0.77,15.12,cytosol,
4313,SWF1,1.07,16.56,cytosol,5.38,"Palmitoyltransferase that acts on the SNAREs Snc1p, Syn8p, Tlg1p and likely on all SNAREs; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; may have a role in vacuole fusion",0.9,13.99,cytosol,2.83,0.9,13.97,below threshold,1.98,20.81,below threshold,20.06,ER,22.71,below threshold,8.26,"ER,vacuole",YDR126W,below threshold,15.45,below threshold,4.41,0.0,0.0,0.0,0.0,1.12,17.36,cytosol,
4314,SWH1,0.96,16.89,cytosol,5.34,Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction,0.96,16.94,cytosol,4.09,1.05,18.47,below threshold,2.95,21.86,below threshold,61.82,punctate,44.69,punctate,52.94,punctate,YAR042W,below threshold,17.57,below threshold,3.68,0.0,0.0,0.0,0.0,0.83,14.61,cytosol,
4315,SWI1,1.11,16.22,cytosol,5.24,"Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2; can form the prion [SWI+]",1.21,17.63,cytosol,3.65,1.2,17.46,below threshold,2.15,23.4,"punctate,nucleus",67.14,nucleus,23.03,below threshold,15.66,"cytosol,nucleus",YPL016W,below threshold,14.54,below threshold,3.24,0.0,0.0,0.0,0.0,1.12,16.3,cytosol,
4316,SWI3,,,nucleus,,"Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2",,,technical problem,,,,nucleus,,34.73,nucleus,79.08,nucleolus,30.09,nucleus,25.75,nucleus,YJL176C,nucleus,33.01,nucleus,9.5,0.0,0.0,0.0,,,,nucleus,
4317,SWI4,0.98,22.08,nucleus,6.2,"DNA binding component of the SBF complex (Swi4p-Swi6p), a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair",1.07,24.06,nucleus,4.4,1.1,24.47,nucleus,3.71,26.92,nucleus,34.9,nucleus,23.36,below threshold,11.23,nucleus,YER111C,nucleus,22.32,nucleus,4.45,0.0,0.0,0.0,0.0,0.82,18.47,nucleus,
4318,SWI5,1.08,16.96,cytosol,6.21,Transcription factor that activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase; localization to the nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase,1.07,16.86,cytosol,3.57,1.05,16.42,below threshold,2.39,38.42,nucleus,77.64,cytosol,24.34,below threshold,94.64,cytosol,YDR146C,below threshold,15.61,below threshold,3.47,0.0,0.0,0.0,0.0,1.11,17.34,cytosol,
4319,SWI6,1.02,16.9,cytosol,5.99,"Transcription cofactor, forms complexes with DNA-binding proteins Swi4p and Mbp1p to regulate transcription at the G1/S transition; involved in meiotic gene expression; localization regulated by phosphorylation; potential Cdc28p substrate",0.86,14.25,cytosol,2.93,1.01,16.7,below threshold,1.75,28.12,nucleus,44.82,nucleus,29.12,nucleus,15.91,nucleus,YLR182W,below threshold,16.5,below threshold,4.02,0.0,0.0,0.0,0.0,1.02,16.86,cytosol,
4320,SWM1,0.86,14.42,cytosol,5.46,"Subunit of the anaphase-promoting complex, which is an E3 ubiquitin ligase that regulates the metaphase-anaphase transition and exit from mitosis; required for activation of the daughter-specific gene expression and spore wall maturation",0.93,15.52,cytosol,3.14,1.01,16.9,below threshold,2.31,22.84,"punctate,nucleus",45.96,"cytosol,nucleus",25.64,below threshold,20.16,nucleus,YDR260C,below threshold,16.67,below threshold,3.21,0.0,0.0,0.0,0.0,0.91,15.28,cytosol,
4321,SWM2,,,,,Putative protein of unknown function; haploid disruptant exhibits cold-sensitive growth and elongated buds,,,,,,,,,22.55,nucleus,103.3,"cytosol,punctate",40.62,cytosol,119.33,cytosol,YNR004W,,,,,,,,,,,,
